Application ID,Default_Status
20210600001,0
20210600002,1
20210600003,1
20210600004,1
20210600005,0
20210600006,0
20210600007,1
20210600008,0
20210600009,0
20210600010,1
20210600011,1
20210600012,0
20210600013,1
20210600014,1
20210600015,0
20210600016,1
20210600017,0
20210600018,1
20210600019,1
20210600020,1
20210600021,0
20210600022,1
20210600023,1
20210600024,0
20210600025,1
20210600026,1
20210600027,0
20210600028,1
20210600029,1
20210600030,1
20210600031,0
20210600032,1
20210600033,0
20210600034,1
20210600035,1
20210600036,0
20210600037,1
20210600038,1
20210600039,1
20210600040,1
20210600041,0
20210600042,1
20210600043,0
20210600044,1
20210600045,1
20210600046,1
20210600047,1
20210600048,1
20210600049,1
20210600050,0
20210600051,1
20210600052,0
20210600053,1
20210600054,1
20210600055,1
20210600056,1
20210600057,0
20210600058,0
20210600059,1
20210600060,1
20210600061,1
20210600062,1
20210600063,1
20210600064,1
20210600065,1
20210600066,0
20210600067,1
20210600068,0
20210600069,1
20210600070,1
20210600071,0
20210600072,0
20210600073,0
20210600074,1
20210600075,1
20210600076,1
20210600077,1
20210600078,1
20210600079,0
20210600080,1
20210600081,1
20210600082,1
20210600083,1
20210600084,1
20210600085,1
20210600086,1
20210600087,1
20210600088,1
20210600089,1
20210600090,1
20210600091,0
20210600092,1
20210600093,1
20210600094,1
20210600095,0
20210600096,0
20210600097,1
20210600098,1
20210600099,0
20210600100,1
20210600101,1
20210600102,1
20210600103,1
20210600104,1
20210600105,1
20210600106,0
20210600107,1
20210600108,0
20210600109,1
20210600110,1
20210600111,0
20210600112,1
20210600113,1
20210600114,1
20210600115,1
20210600116,0
20210600117,1
20210600118,1
20210600119,0
20210600120,1
20210600121,1
20210600122,0
20210600123,1
20210600124,1
20210600125,1
20210600126,0
20210600127,1
20210600128,1
20210600129,0
20210600130,1
20210600131,1
20210600132,0
20210600133,1
20210600134,0
20210600135,0
20210600136,1
20210600137,1
20210600138,0
20210600139,0
20210600140,0
20210600141,1
20210600142,0
20210600143,1
20210600144,1
20210600145,1
20210600146,1
20210600147,0
20210600148,1
20210600149,1
20210600150,1
20210600151,1
20210600152,1
20210600153,1
20210600154,1
20210600155,1
20210600156,1
20210600157,1
20210600158,1
20210600159,1
20210600160,0
20210600161,0
20210600162,0
20210600163,1
20210600164,1
20210600165,1
20210600166,1
20210600167,0
20210600168,1
20210600169,1
20210600170,1
20210600171,1
20210600172,1
20210600173,0
20210600174,1
20210600175,1
20210600176,0
20210600177,1
20210600178,0
20210600179,1
20210600180,1
20210600181,0
20210600182,0
20210600183,0
20210600184,0
20210600185,1
20210600186,0
20210600187,1
20210600188,1
20210600189,1
20210600190,0
20210600191,1
20210600192,0
20210600193,1
20210600194,1
20210600195,1
20210600196,0
20210600197,1
20210600198,1
20210600199,1
20210600200,1
20210600201,0
20210600202,1
20210600203,1
20210600204,0
20210600205,0
20210600206,1
20210600207,1
20210600208,1
20210600209,0
20210600210,1
20210600211,1
20210600212,1
20210600213,0
20210600214,0
20210600215,0
20210600216,0
20210600217,1
20210600218,1
20210600219,1
