Review #,Brand,Variety,Style,Country,Stars,Top Ten,run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
2580,New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,,30-04-2018 13:48,201801,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,18,0,2,10,40,30,5,0,0,5,0,0,0,10,11,19,63.157895,33.736842
2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,,30-04-2018 13:48,201801,ABERDEEN,POLAND,WARSAW (CHOPIN),WIZZ AIR,S,12,0,0,0,0,58.333333,16.666667,16.666667,8.333333,0,0,0,0,0,21.583333,18,83.333333,7.055556
2578,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.25,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),FLYBE LTD,S,60,0,2,3.225806,58.064516,25.806452,1.612903,6.451613,1.612903,0,0,0,0,3.225806,5.683333,62,82.258065,12.16129
2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,S,145,0,1,2.054795,63.013699,25.342466,6.164384,0.684932,2.054795,0,0,0,0,0.684932,4,176,81.818182,14.835227
2576,Ching's Secret,Singapore Curry,Pack,India,3.75,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,BRISTOL,BMI REGIONAL,S,57,0,2,3.389831,44.067797,20.338983,6.779661,6.779661,11.864407,1.694915,1.694915,0,0,3.389831,23.403509,65,80,22.384615
2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,CARDIFF WALES,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,89.74359,4.25641
2574,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,CARDIFF WALES,FLYBE LTD,S,47,0,6,3.773585,24.528302,39.622642,5.660377,9.433962,3.773585,0,1.886792,0,0,11.320755,15.744681,0,0,0
2573,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,DONCASTER SHEFFIELD,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123
2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,EDINBURGH,FLYBE LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,,30-04-2018 13:48,201801,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,1,0,1,0,0,0,0,0,50,0,0,0,0,50,70,0,0,0
