Sentiment,Product,Company_Name,Category,Country,State,Input_tweet
negative,Galaxy S,Samsung,Mobile,United States,Texas,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail
positive,android,Google,Technology,United States,Texas,This is a #WINNING picture #android #google #sxsw {link}
Negative,Lego,Lego,Toys,United States,Texas,they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android
positive,Android,Google,Computers,United States,Texas,Alert the media.  I just saw the one and only Android tablet at #sxsw.  Like finding a needle in a haystack!  I also saw a Cr-48.
positive,iOS,Apple,Mobile,United States,Texas,"Farooqui: Now about mobile. iOS, with Android catching up fast and will grow more once they allow in-app purchasing. #gamesfortv #sxsw"
positive,Android,Google,Technology,United States,Texas,Talked to some great developers at the Android meetup. Looking forward to working with them. #sxsw #android #androidsxsw
negative,iPad 2,Apple,Tablet,United States,Texas,There are thousands of iPad 2's floating around Austin at #sxsw and I have not seen even one single Android tablet.  Not even one. Zero.
positive,Android,Google,Software,United States,Texas,Woot! RT @mention First Android @mention disc {link} ... Market version coming soon! #SXSW
Positive,Android,Google,Smartphone,US,Texas,Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw
positive,Quadroid,Qualcomm,Technology,United States,Texas,Quadroid = Qualcomm + Android just called the platform of the next decade vs Wintel #sxsw #cloud
Positive,Android,Google,Technology,United States,Texas,{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free
negative,Android,Google,Technology,United States,Texas,Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw
positive,Android,Google,Technology,United States,Texas,@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.
negative,Android,Apple,Technology,United States,Texas,@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs
positive,Arduino,Arduino,Electronics,United States,Texas,Piece of awesomeness: Arduino + android = Flaming skulls  {link} @mention @mention #sxsw #smartthings
positive,Android,Google,Technology,United States,Texas,@mention Congratulations on winning the Android award! :) #sxsw
positive,Android,Google,Technology,United States,Texas,@mention crew ripped up Android party - thanks for having us Droid! {link} #sxsw
positive,xoom,google,tech,us,tx,Great UI demo of @mention on @mention {link} #xoom #sxsw #android #tech #tablet
Positive,Android,Google,Technology,United States,Texas,#android dev meetup was mostly ppl looking for devs. Good skill to learn if you havent already. #SXSW #mccannsxsw
positive,Android,Google,Technology,United States,Texas,I'm giving $100 to the next person who comes up to me at #SXSW and tells me how cool Android is -- look around for me!  Look hard.
positive,Android,Google,Technology,United States,Texas,"Lunch with @mention at #CNNGrill. View from the HTML5 dev trenches: Android is painful, iOS is sleek (for what @mention is doing) #sxsw"
positive,Android,Google,Technology,United States,Texas,What's behind #Android's race to No. 1? {link} #smartphones #technology #mobile #sxsw #sxswi
positive,Android,Google,Technology,United States,Texas,the @mention booth is up and ready for the #sxsw tradeshow tmr! Off to the Android party...
positive,Android,Google,Technology,United States,Texas,Just met Jared at the Android meetup #sxsw. Big Android fan!  {link}
positive,Android,Google,Technology,United States,California,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan"
positive,Android,Google,Technology,United States,Texas,"Tech Check podcast -- South By Southwest, Android passes BlackBerry, a big Twitter fail -- {link} #sxsw #cnn"
positive,Gowalla,Gowalla,Social Networking,United States,Texas,@mention launching Gowalla 3 for Droid at #SxSW - should push 4square and Groupon {link}
positive,Spark,Google,Technology,United States,Texas,"*Spark selected as a finalist in Team Android Choice awards! If you're in Austin 3/13, please come &amp; support {link} #sxsw"
